# frequency_hz	hv_median	hv_plus	hv_minus	hv_std
1.910639900729735174e+01 1.240389358898783323e+00 1.600453551657582629e+00 8.803251661399841277e-01 3.600641927587992508e-01
1.971249092513319923e+01 1.270542755187977102e+00 1.642408084527807732e+00 8.986774258481463606e-01 3.718653293398306858e-01
2.033780925045303789e+01 1.302238047171871971e+00 1.676979925606353561e+00 9.274961687373901587e-01 3.747418784344817566e-01
2.098296388207558394e+01 1.333487775573547918e+00 1.701741091811648676e+00 9.652344593354469371e-01 3.682533162381009806e-01
2.164858406598937535e+01 1.363068231648447259e+00 1.723077113516829018e+00 1.003059349780065501e+00 3.600088818683817027e-01
2.233531900908224799e+01 1.391178676815795878e+00 1.752595198536435861e+00 1.029762155095155896e+00 3.614165217206400382e-01
2.304383851233973957e+01 1.417142375679860011e+00 1.790616381863463724e+00 1.043668369496256298e+00 3.734740061836037683e-01
2.377483362412973378e+01 1.440711800890019711e+00 1.822986403262501609e+00 1.058437198517537814e+00 3.822746023724817865e-01
2.452901731421039599e+01 1.466425358443911087e+00 1.841767094472172017e+00 1.091083622415649934e+00 3.753417360282610415e-01
2.530712516911912857e+01 1.498595633963362816e+00 1.863007240851453972e+00 1.134184027075271883e+00 3.644116068880910997e-01
2.610991610962050302e+01 1.534874565393248069e+00 1.899405293909422809e+00 1.170343836877073329e+00 3.645307285161747402e-01
2.693817313091315668e+01 1.572043225125755006e+00 1.938237560237052293e+00 1.205848890014457941e+00 3.661943351112972311e-01
2.779270406631723134e+01 1.612538011318335851e+00 1.977121908724030819e+00 1.247954113912640883e+00 3.645838974056948567e-01
2.867434237518769180e+01 1.659427924921486941e+00 2.027220541971416878e+00 1.291635307871556781e+00 3.677926170499301040e-01
2.958394795582177750e+01 1.713968504085853883e+00 2.097347700839566897e+00 1.330589307332141313e+00 3.833791967537126810e-01
3.052240798415321166e+01 1.778667530638688321e+00 2.199795065019862772e+00 1.357539996257514092e+00 4.211275343811742289e-01
3.149063777905167072e+01 1.852815474366395376e+00 2.334371134666946901e+00 1.371259814065843630e+00 4.815556603005518022e-01
3.248958169507107385e+01 1.922942495512122596e+00 2.461461274787515308e+00 1.384423716236730106e+00 5.385187792753926006e-01
3.352021404351774692e+01 1.969868060648676034e+00 2.544897434306558903e+00 1.394838686990793386e+00 5.750293736578827586e-01
3.458354004273635240e+01 1.988691522625776864e+00 2.601728710191779648e+00 1.375654335059773858e+00 6.130371875660028946e-01
3.568059679854097510e+01 1.994379721145888462e+00 2.675592998447790638e+00 1.313166443843986286e+00 6.812132773019021759e-01
3.681245431574742355e+01 1.999721692091135372e+00 2.807985979361043771e+00 1.191457404821226751e+00 8.082642872699085101e-01
3.798021654179297002e+01 1.997458048939562802e+00 3.021998992272394435e+00 9.729171056067310586e-01 1.024540943332831633e+00
3.918502244346201024e+01 1.966119651858636352e+00 3.311077256682676051e+00 6.211620470345963207e-01 1.344957604824039921e+00
4.042804711776761195e+01 1.885164678585947051e+00 3.640155015447828379e+00 1.301743417240655287e-01 1.754990336861881328e+00
4.171050293807196141e+01 1.757079052402046759e+00 3.954249586118814719e+00 0.000000000000000000e+00 2.197170533716768404e+00
4.303364073656442201e+01 1.619411364875270820e+00 4.171740026957333924e+00 0.000000000000000000e+00 2.552328662082063104e+00
4.439875102424974784e+01 1.501602886899502165e+00 4.203106921119289296e+00 0.000000000000000000e+00 2.701504034219787354e+00
4.580716524963707315e+01 1.404517469491583403e+00 4.050241744697924418e+00 0.000000000000000000e+00 2.645724275206341680e+00
4.726025709735638713e+01 1.325631063551749200e+00 3.827444390112007877e+00 0.000000000000000000e+00 2.501813326560258677e+00
4.875944382797009524e+01 1.253005238275238131e+00 3.628366265317026773e+00 0.000000000000000000e+00 2.375361027041788642e+00
5.030618766028599254e+01 1.176309033835367890e+00 3.481637719442373768e+00 0.000000000000000000e+00 2.305328685607005657e+00
5.190199719751944230e+01 1.106893766979443416e+00 3.385336289985311442e+00 0.000000000000000000e+00 2.278442523005868470e+00
5.354842889869666323e+01 1.069102222138272218e+00 3.327313012503978484e+00 0.000000000000000000e+00 2.258210790365706711e+00
5.524708859673347661e+01 1.071207755955710939e+00 3.290563769038502784e+00 0.000000000000000000e+00 2.219356013082792067e+00
5.699963306467075341e+01 1.083882239762525845e+00 3.264378802585932160e+00 0.000000000000000000e+00 2.180496562823406315e+00
5.880777163159334719e+01 1.062455103229463571e+00 3.262845920986498172e+00 0.000000000000000000e+00 2.200390817757034601e+00
6.067326784980959786e+01 9.887712298024959878e-01 3.355864687840742544e+00 0.000000000000000000e+00 2.367093458038246112e+00
6.259794121491697183e+01 8.832678208988361535e-01 3.699081548820861709e+00 0.000000000000000000e+00 2.815813727922025667e+00
6.458366894043103912e+01 7.871920621821612007e-01 4.528562328846786222e+00 0.000000000000000000e+00 3.741370266664625799e+00
6.663238778870962165e+01 7.349600091567148885e-01 5.949307238567659972e+00 0.000000000000000000e+00 5.214347229410945417e+00
6.874609595995713107e+01 7.211574328016693292e-01 7.124036990793238822e+00 0.000000000000000000e+00 6.402879557991568937e+00
7.092685504115206641e+01 7.100565387695411124e-01 6.997727078458226835e+00 0.000000000000000000e+00 6.287670539688686056e+00
7.317679201679769108e+01 6.965886208715498240e-01 6.389919557474544654e+00 0.000000000000000000e+00 5.693330936602993830e+00
7.549810134345810297e+01 6.819870483016275964e-01 5.992333529446493223e+00 0.000000000000000000e+00 5.310346481144865294e+00
7.789304709010271210e+01 6.705375250248220009e-01 5.545572995905356350e+00 0.000000000000000000e+00 4.875035470880534128e+00
8.036396514634593302e+01 6.745710834458846783e-01 4.734131065631210333e+00 0.000000000000000000e+00 4.059559982185325211e+00
8.291326550073701185e+01 7.055769105908494820e-01 3.852948916145295666e+00 0.000000000000000000e+00 3.147372005554446073e+00
8.554343459132185501e+01 7.584872503324079362e-01 3.236034783639079482e+00 0.000000000000000000e+00 2.477547533306671657e+00
8.825703773076837422e+01 8.156546167927393176e-01 2.883072140958314655e+00 0.000000000000000000e+00 2.067417524165575671e+00
9.105672160842223661e+01 8.639467924338773974e-01 2.688012811500097854e+00 0.000000000000000000e+00 1.824066019066220790e+00
9.394521687173237012e+01 8.976853457007046844e-01 2.589365374881017257e+00 0.000000000000000000e+00 1.691680029180312683e+00
9.692534078956461485e+01 9.126397845700345846e-01 2.562372765212037606e+00 0.000000000000000000e+00 1.649732980642002911e+00
1.000000000000000000e+02 9.047220972083815926e-01 2.583116520483759615e+00 0.000000000000000000e+00 1.678394423275378022e+00
